CUPS;Fecha;Hora;AE_kWh;AS_KWh;AE_AUTOCONS_kWh;REAL/ESTIMADO,
ES0031405462253006LB0F;06/05/2022;11;0,111;;;R
ES0031405462253006LB0F;06/05/2022;12;0,104;;;R
ES0031405462253006LB0F;06/05/2022;13;0,117;;;R
ES0031405462253006LB0F;06/05/2022;14;0,068;;;R
ES0031405462253006LB0F;06/05/2022;15;0,043;;;R
ES0031405462253006LB0F;06/05/2022;16;0,114;;;R
ES0031405462253006LB0F;06/05/2022;17;0,147;;;R
ES0031405462253006LB0F;06/05/2022;18;0,103;;;R
ES0031405462253006LB0F;06/05/2022;19;0,102;;;R
ES0031405462253006LB0F;06/05/2022;20;0,058;;;R
ES0031405462253006LB0F;06/05/2022;21;0,074;;;R
ES0031405462253006LB0F;06/05/2022;22;0,525;;;R
ES0031405462253006LB0F;06/05/2022;23;0,15;;;R
ES0031405462253006LB0F;06/05/2022;24;0,082;;;R
ES0031405462253006LB0F;07/05/2022;1;0,088;;;R
ES0031405462253006LB0F;07/05/2022;2;0,081;;;R
ES0031405462253006LB0F;07/05/2022;3;0,064;;;R
ES0031405462253006LB0F;07/05/2022;4;0,099;;;R
ES0031405462253006LB0F;07/05/2022;5;0,054;;;R
ES0031405462253006LB0F;07/05/2022;6;0,058;;;R
ES0031405462253006LB0F;07/05/2022;7;0,077;;;R
ES0031405462253006LB0F;07/05/2022;8;0,033;;;R
ES0031405462253006LB0F;07/05/2022;9;0,227;;;R
ES0031405462253006LB0F;07/05/2022;10;0,187;;;R
ES0031405462253006LB0F;07/05/2022;11;0,059;;;R
ES0031405462253006LB0F;07/05/2022;12;0,084;;;R
ES0031405462253006LB0F;07/05/2022;13;0,047;;;R
ES0031405462253006LB0F;07/05/2022;14;0,055;;;R
ES0031405462253006LB0F;07/05/2022;15;0,077;;;R
ES0031405462253006LB0F;07/05/2022;16;0,034;;;R
ES0031405462253006LB0F;07/05/2022;17;0,092;;;R
ES0031405462253006LB0F;07/05/2022;18;0,045;;;R
ES0031405462253006LB0F;07/05/2022;19;0,095;;;R
ES0031405462253006LB0F;07/05/2022;20;0,068;;;R
ES0031405462253006LB0F;07/05/2022;21;0,047;;;R
ES0031405462253006LB0F;07/05/2022;22;0,072;;;R
ES0031405462253006LB0F;07/05/2022;23;0,034;;;R
ES0031405462253006LB0F;07/05/2022;24;0,079;;;R
ES0031405462253006LB0F;08/05/2022;1;0,139;;;R
ES0031405462253006LB0F;08/05/2022;2;0,075;;;R
ES0031405462253006LB0F;08/05/2022;3;0,089;;;R
ES0031405462253006LB0F;08/05/2022;4;0,052;;;R
ES0031405462253006LB0F;08/05/2022;5;0,075;;;R
